4015400406303.000;3.500;0.000;0.000;3.500;0.000;0.000;بامبرز رفم 4 عادي 17 حفاضه
4015400406365.000;7.500;0.000;0.000;7.500;0.000;0.000;بامبرز  رقم 4 دبل 44 حفاضه
4015400406488.000;3.750;0.000;0.000;3.750;0.000;0.000;بامبرز  4  + عادي  16 حفاضه
4015400406549.000;7.750;0.000;0.000;7.750;0.000;0.000;بامبرز رقم + 4 دبل 40 حفاضه
4015400406662.000;3.500;0.000;0.000;3.500;0.000;0.000;بامبرز  رقم 5 سعودي  15 حفاضه
4015400406723.000;6.000;0.000;0.000;6.000;0.000;0.000;بامبرز  رقم 5 دبل 38 حفاضه
4015400406815.000;4.500;0.000;0.000;4.500;0.000;0.000;بامبرز رقم 6 عادي 15 حفاضه
4015400406907.000;3.500;0.000;0.000;3.500;0.000;0.000;بامبرز سغودي رقم 1حديث الولاده 21 حفاضه
4015400417491.000;1.000;0.000;0.000;1.000;0.000;0.000;اولويز ماكسي سميك 9 فوط
4015400457848.000;1.000;0.000;0.000;1.000;0.000;0.000;اولوبز كبير بالاجنحه 8 فوط سمبكه ليلي
4015400595052.000;3.250;0.000;0.000;3.250;0.000;0.000;بامبرز 3 عادي 18 جفاضه خصم خاص
5000159407236.000;0.500;0.000;0.000;0.500;0.000;0.000;شوكولاته مارس  50 غم
5000159407397.000;0.500;0.000;0.000;0.500;0.000;0.000;شوكولاته سنكرز 57 غم
5000159459228.000;0.500;0.000;0.000;0.500;0.000;0.000;شوكولاته تويكس 52 غم
5000159459273.000;0.300;0.000;0.000;0.300;0.000;0.000;شوكولاته تويكس 25 غم
5000159461122.000;0.500;0.000;0.000;0.500;0.000;0.000;شوكولاته سنكرز  50 غم
5000174927184.000;2.750;0.000;0.000;2.750;0.000;0.000;شامبو بانتين ازرف 400 مل
5000201499776.000;0.650;0.000;0.000;0.650;0.000;0.000;شوكولاته كادبوري  تويرل 43 غم
5000312003602.000;0.350;0.000;0.000;0.350;0.000;0.000;كادبوري شوكولاته فليك 18 غم
5010455752015.000;0.300;0.000;0.000;0.300;0.000;0.000;دروبس هولـــز   33.5 عم مينتول
5010455752046.000;0.300;0.000;0.000;0.300;0.000;0.000;دروبس هــولــز  33.5 غم  نعناع اخضر
5010455752060.000;0.300;0.000;0.000;0.300;0.000;0.000;دروبس هو لــز   33.5  غم  كرز
5010455756440.000;0.300;0.000;0.000;0.300;0.000;0.000;شكلتس نعناع
5010455756464.000;0.250;0.000;0.000;0.250;0.000;0.000;شكلتس ماستك
5011321360990.000;2.750;0.000;0.000;2.750;0.000;0.000;شامبو هد اند شولدرز احمر 400  مل
5011321361058.000;2.500;0.000;0.000;2.500;0.000;0.000;شامبو هد اند شولدرز اخضر 400 مل
5029715002760.000;0.500;0.000;0.000;0.500;0.000;0.000;شطه بلديه ربو ستار 300 غم
5034660517535.000;0.600;0.000;0.000;0.600;0.000;0.000;كادبوري تايم اوت  32 غم
5283003312010.000;0.100;0.000;0.000;0.100;0.000;0.000;فروستد فليكس
5283003313017.000;0.100;0.000;0.000;0.100;0.000;0.000;فليكس ويفر
5283003314014.000;0.100;0.000;0.000;0.100;0.000;0.000;شوكو فليكس
5285000390589.000;0.850;0.000;0.000;0.850;0.000;0.000;شوربة نودلز اندومي شعيرية
5285000390619.000;1.000;0.000;0.000;1.000;0.000;0.000;شوربة نودلز اندومي بصل
5285000390640.000;0.850;0.000;0.000;0.850;0.000;0.000;شوربة نودلز اندومي دجاج
5285001151509.000;0.750;0.000;0.000;0.750;0.000;0.000;تونه الصياد بالزيت النباتي 160غم
5287000234894.000;2.000;0.000;0.000;2.000;0.000;0.000;اليجانس جل شعر 500 مل سكني
5287000234900.000;2.850;0.000;0.000;2.850;0.000;0.000;اليجانس جل شعر 500 مل ازرق
5290426201920.000;0.850;0.000;0.000;0.850;0.000;0.000;مكسيم دره علب 180 غم
5352101064067.000;0.500;0.000;0.000;0.500;0.000;0.000;فوستر كلاركس خوخ
5352101327872.000;0.500;0.000;0.000;0.500;0.000;0.000;فوستر كلاركس مانجا
